Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,validTo,Preci_janv_2017mean,Preci_janv_2017min,Preci_janv_2017max
3.24999609269,0.24803678911,Léraba,BF4702,Leraba,,,Cascades,BF47,Burkina Faso,BF,2020/03/18,2020/03/23,,0.757581194521676,0.547950267791748,1.21615386009216
3.12999340113,0.31457115434,Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
5.76684319767,0.58406393480,Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,0.264033762294622,0,1
3.56052842802,0.32159959502,Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,0.649010855664489,0,1
5.50988189109,0.53251030751,Namentenga,BF4902,,,,Centre-Nord,BF49,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
2.77008495461,0.30800820262,Nayala,BF4605,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,0.00564971751412429,0,1
3.04964010849,0.23297550156,Noumbiel,BF5703,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,0.965071132237261,0.474510580301285,1.34589993953705
3.46097110463,0.22316725400,Oubritenga,BF5503,,,,Plateau-Central,BF55,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
4.41670422633,0.81476579188,Oudalan,BF5601,,,,Sahel,BF56,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
4.16236597956,0.33077444081,Passoré,BF5402,Passore,,,Nord,BF54,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
5.58686871385,0.63084128270,Poni,BF5704,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,1.09095011843394,0.497956097126007,1.36703264713287
5.11177977674,0.42455242976,Sanguié,BF5002,Sanguie,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,0.634561596562465,0,1
5.58040718979,0.78060953806,Sanmatenga,BF4903,,,,Centre-Nord,BF49,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
4.47397106990,0.57497372729,Séno,BF5602,Seno,,,Sahel,BF56,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
5.98943443195,0.58829888811,Sissili,BF5003,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,0.315477180303033,0,0.781382858753204
5.05856595377,1.04463372427,Soum,BF5603,,,,Sahel,BF56,Burkina Faso,BF,2020/03/18,2020/03/23,,0.00165837479270315,0,1
3.92633238200,0.49787425259,Sourou,BF4606,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
6.38639000558,1.27417099546,Tapoa,BF5205,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
4.80105172606,0.45964098169,Tuy,BF5303,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,1.02861301298428,0,1.84927678108215
4.29143025909,0.52636240412,Yagha,BF5604,,,,Sahel,BF56,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
5.06426055700,0.56452269378,Yatenga,BF5403,,,,Nord,BF54,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
3.62328789385,0.43299657867,Ziro,BF5004,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,0.0115008267313845,0,0.965833485126495
2.55203384495,0.16635637629,Zondoma,BF5404,,,,Nord,BF54,Burkina Faso,BF,2020/03/18,2020/03/23,,0,0,0
3.58689769117,0.33011403273,Zoundwéogo,BF5103,Zoundweogo,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,0.502233485380808,0,1
